ID,family,genus,species,taxa,max_lat,min_lat,mid_lat,lat_range,max_size,min_depth,max_depth,midpoint_depth,hab_type
806,Cardiidae,Trachycardium,procerum,Trachycardium_procerum,31.3,-14.2,8.55,45.5,117,0,26,13,
1033,Cardiidae,Trachycardium,quadragenarium,Trachycardium_quadragenarium,36.6,27,31.8,9.6,150,0,50,25,0 zone
1246,Veneridae,Transennella,caryonautes,Transennella_caryonautes,27.9,15.8,21.85,12.1,46,30,,,
1247,Veneridae,Transennella,galapagana,Transennella_galapagana,-0.5,-0.5,-0.5,0,6,0,,,
1248,Veneridae,Transennella,modesta,Transennella_modesta,27.9,27,27.45,0.9,35,0,90,45,0
1549,Veneridae,Transennella,pannosa,Transennella_pannosa,-5.6,-33.1,-19.35,27.5,38,8,10,9,
1249,Veneridae,Transennella,peulla,Transennella_peulla,29.2,6.4,17.8,22.8,28,6,113,59.5,
1250,Veneridae,Transennella,vulnerata,Transennella_vulnerata,27.9,-5.6,11.15,33.5,48,0,35,17.5,0
1126,Mactridae,Tresus,capax,Tresus_capax,59.5,35.1,47.3,24.4,280,0,20,10,mud and sand
946,Mactridae,Tresus,nuttallii,Tresus_nuttallii,57,24.6,40.8,32.4,190,0,40,20,
814,Cardiidae,Trigoniocardia,granifera,Trigoniocardia_granifera,31.5,-3.5,14,35,18,0,66,33,
1595,Verticordiidae,Trigonulina,novemcostata,Trigonulina_novemcostata,36.6,-14.3,11.15,50.9,8,11,185,98,mud
1212,Verticordiidae,Trigonulina,pacifica,Trigonulina_pacifica,36.6,-12.1,12.25,48.7,8,15,170,92.5,mud
880,Galeommatidae,Tryphomyax,lepidoformis,Tryphomyax_lepidoformis,31.3,8.7,20,22.6,4,0,0,,
881,Galeommatidae,Tryphomyax,mexicanus,Tryphomyax_mexicanus,31.4,19.2,25.3,12.2,0,30,,15,
631,Glycymerididae,Tucentona,bicolor,Tucentona_bicolor,29.8,19.6,24.7,10.2,28,20,45,32.5,
633,Glycymerididae,Tucentona,multicostata,Tucentona_multicostata,31.4,-3.1,14.15,34.5,46,8,90,49,
634,Glycymerididae,Tucentona,strigilata,Tucentona_strigilata,27.9,-3.7,12.1,31.6,49,10,180,95,
945,Mactridae,Tumbeziconcha,thraciodes,Tumbeziconcha_thraciodes,13.3,-3.5,4.9,16.8,45,0,,0,
1063,Turtoniidae,Turtonia,minuta,Turtonia_minuta,60,51.4,55.7,8.6,3,,,,0 zone
466,Ostreidae,Undulostrea,megodon,Undulostrea_megodon,27.9,-14.3,6.8,42.2,103,0,110,,
1336,Teredinidae,Uperotus,panamensis,Uperotus_panamensis,7.9,7.9,7.9,0,3,94,94,94,
1302,Corbulidae,Varicorbula,grovesi,Varicorbula_grovesi,28.7,28.7,28.7,0,11,732,732,732,
1303,Corbulidae,Varicorbula,obesa,Varicorbula_obesa,28.2,6.6,17.4,21.6,13,14,205,109.5,Mud
1057,Veneridae,Venerupis,philippinarum,Venerupis_philippinarum,54,36.8,45.4,17.2,70,,,,0 zone
1018,Vesicomyidae,Vesicomya,diagonalis,Vesicomya_diagonalis,44.7,9.7,27.2,35,250,2025,2600,2312.5,
1013,Vesicomyidae,Vesicomya,elogata,Vesicomya_elogata,34.4,32.7,33.55,1.7,50,500,510,505,
1014,Vesicomyidae,Vesicomya,extenta,Vesicomya_extenta,36.2,9.7,22.95,26.5,246,3000,3600,3300,
915,Vesicomyidae,Vesicomya,galathea,Vesicomya_galathea,50.9,5.1,28,45.8,7,1760,4000,2880,
